db_name,ionized_mass;
Cer 42:3;O2 [M+H]+,646.6133
Cer 42:3;O2 [M+H-H2O]+,628.6027
Cer 42:4;O2 [M+H]+,644.5976
Cer 42:4;O2 [M+H-H2O]+,626.5871
Cer 43:1;O2 [M+H]+,664.6602
Cer 43:1;O2 [M+H-H2O]+,646.6497
Cer 43:2;O2 [M+H]+,662.6446
Cer 43:2;O2 [M+H-H2O]+,644.6340
Cer 43:3;O2 [M+H]+,660.6289
Cer 43:3;O2 [M+H-H2O]+,642.6184
Cer 44:1;O2 [M+H]+,678.6759
Cer 44:1;O2 [M+H-H2O]+,660.6653
Cer 44:2;O2 [M+H]+,676.6602
Cer 44:2;O2 [M+H-H2O]+,658.6497
Cer 44:3;O2 [M+H]+,674.6446
Cer 44:3;O2 [M+H-H2O]+,656.6340
Cer 44:4;O2 [M+H]+,672.6289
Cer 44:4;O2 [M+H-H2O]+,654.6184
Chol [M.]+,386.3543;
Chol [M+H]+,387.3621;
Chol [M+H-H2O]+,369.3516;
DG 28:0 [M+H-H2O]+,495.4408;
DG 28:1 [M+H-H2O]+,493.4251;
DG 30:0 [M+H-H2O]+,523.4721;
DG 30:1 [M+H-H2O]+,521.4564;
DG 30:2 [M+H-H2O]+,519.4408;
DG 32:0 [M+H-H2O]+,551.5034;
DG 32:1 [M+H-H2O]+,549.4877;
DG 32:2 [M+H-H2O]+,547.4721;
DG 32:3 [M+H-H2O]+,545.4564;
DG 34:0 [M+H-H2O]+,579.5347;
DG 34:1 [M+H-H2O]+,577.5190;
DG 34:2 [M+H-H2O]+,575.5034;
DG 34:3 [M+H-H2O]+,573.4877;
DG 34:4 [M+H-H2O]+,571.4721;
DG 36:0 [M+H-H2O]+,607.5660;
DG 36:1 [M+H-H2O]+,605.5503;
DG 36:2 [M+H-H2O]+,603.5347;
DG 36:3 [M+H-H2O]+,601.5190;
DG 36:4 [M+H-H2O]+,599.5034;
DG 36:5 [M+H-H2O]+,597.4877;
DG 36:6 [M+H-H2O]+,595.4721;
DG 38:0 [M+H-H2O]+,635.5973;
DG 38:1 [M+H-H2O]+,633.5816;
DG 38:2 [M+H-H2O]+,631.5660;
DG 38:3 [M+H-H2O]+,629.5503;
DG 38:4 [M+H-H2O]+,627.5347;
DG 38:5 [M+H-H2O]+,625.5190;
DG 38:6 [M+H-H2O]+,623.5034;
DG 38:7 [M+H-H2O]+,621.4877;
DG 38:8 [M+H-H2O]+,619.4721;
DG 40:0 [M+H-H2O]+,663.6286;
DG 40:1 [M+H-H2O]+,661.6129;
DG 40:10 [M+H-H2O]+,643.4721;
DG 40:2 [M+H-H2O]+,659.5973;
DG 40:3 [M+H-H2O]+,657.5816;
DG 40:4 [M+H-H2O]+,655.5660;
DG 40:5 [M+H-H2O]+,653.5503;
DG 40:6 [M+H-H2O]+,651.5347;
DG 40:7 [M+H-H2O]+,649.5190;
DG 40:8 [M+H-H2O]+,647.5034;
