db_name,ionized_mass;
CL 78:9 [M-H]-,1530.0432;
CL 80:0 [M-H]-,1576.215351;
CL 80:1 [M-H]-,1574.199701;
CL 80:10 [M-H]-,1556.05885;
CL 80:11 [M-H]-,1554.0432;
CL 80:12 [M-H]-,1552.02755;
CL 80:13 [M-H]-,1550.0119;
CL 80:14 [M-H]-,1547.99625;
CL 80:15 [M-H]-,1545.9806;
CL 80:16 [M-H]-,1543.96495;
CL 80:17 [M-H]-,1541.9493;
CL 80:18 [M-H]-,1539.93365;
CL 80:19 [M-H]-,1537.918;
CL 80:2 [M-H]-,1572.184051;
CL 80:20 [M-H]-,1535.902349;
CL 80:3 [M-H]-,1570.168401;
CL 80:4 [M-H]-,1568.15275;
CL 80:5 [M-H]-,1566.1371;
CL 80:6 [M-H]-,1564.12145;
CL 80:7 [M-H]-,1562.1058;
CL 80:8 [M-H]-,1560.09015;
CL 80:9 [M-H]-,1558.0745;
CL 82:1 [M-H]-,1602.231001;
CL 82:10 [M-H]-,1584.09015;
CL 82:11 [M-H]-,1582.0745;
CL 82:12 [M-H]-,1580.05885;
CL 82:13 [M-H]-,1578.0432;
CL 82:14 [M-H]-,1576.02755;
CL 82:15 [M-H]-,1574.0119;
CL 82:16 [M-H]-,1571.99625;
CL 82:17 [M-H]-,1569.9806;
CL 82:18 [M-H]-,1567.96495;
CL 82:19 [M-H]-,1565.9493;
CL 82:2 [M-H]-,1600.215351;
CL 82:20 [M-H]-,1563.93365;
CL 82:21 [M-H]-,1561.918;
CL 82:3 [M-H]-,1598.199701;
CL 82:4 [M-H]-,1596.184051;
CL 82:5 [M-H]-,1594.168401;
CL 82:6 [M-H]-,1592.15275;
CL 82:7 [M-H]-,1590.1371;
CL 82:8 [M-H]-,1588.12145;
CL 82:9 [M-H]-,1586.1058;
CL 84:10 [M-H]-,1612.12145;
CL 84:11 [M-H]-,1610.1058;
CL 84:12 [M-H]-,1608.09015;
CL 84:13 [M-H]-,1606.0745;
CL 84:14 [M-H]-,1604.05885;
CL 84:15 [M-H]-,1602.0432;
CL 84:16 [M-H]-,1600.02755;
CL 84:17 [M-H]-,1598.0119;
CL 84:18 [M-H]-,1595.99625;
CL 84:19 [M-H]-,1593.9806;
CL 84:2 [M-H]-,1628.246651;
CL 84:20 [M-H]-,1591.96495;
CL 84:21 [M-H]-,1589.9493;
CL 84:22 [M-H]-,1587.93365;
CL 84:3 [M-H]-,1626.231001;
CL 84:4 [M-H]-,1624.215351;
CL 84:5 [M-H]-,1622.199701;
CL 84:6 [M-H]-,1620.184051;
CL 84:7 [M-H]-,1618.168401;
CL 84:8 [M-H]-,1616.15275;
CL 84:9 [M-H]-,1614.1371;
CL 86:10 [M-H]-,1640.15275;
CL 86:11 [M-H]-,1638.1371;
CL 86:12 [M-H]-,1636.12145;
CL 86:13 [M-H]-,1634.1058;
CL 86:14 [M-H]-,1632.09015;
CL 86:15 [M-H]-,1630.0745;
CL 86:16 [M-H]-,1628.05885;
CL 86:17 [M-H]-,1626.0432;
CL 86:18 [M-H]-,1624.02755;
CL 86:19 [M-H]-,1622.0119;
CL 86:20 [M-H]-,1619.99625;
CL 86:21 [M-H]-,1617.9806;
CL 86:22 [M-H]-,1615.96495;
CL 86:23 [M-H]-,1613.9493;
CL 86:3 [M-H]-,1654.262301;
CL 86:4 [M-H]-,1652.246651;
CL 86:5 [M-H]-,1650.231001;
CL 86:6 [M-H]-,1648.215351;
