db_name,ionized_mass;
GM4 39:1;O2 [M-H],1059.7313
GM4 39:1;O3 [M-H],1075.7262
GM4 40:0;O3 [M-H],1091.7576
GM4 40:0;O4 [M-H],1107.7525
GM4 40:1;O2 [M-H],1073.747
GM4 40:1;O3 [M-H],1089.7419
GM4 40:2;O2 [M-H],1071.7313
GM4 40:2;O3 [M-H],1087.7262
GM4 40:3;O2 [M-H],1069.7157
GM4 40:3;O3 [M-H],1085.7106
GM4 41:0;O3 [M-H],1105.7732
GM4 41:0;O4 [M-H],1121.7681
GM4 41:1;O2 [M-H],1087.7626
GM4 41:1;O3 [M-H],1103.7575
GM4 41:2;O2 [M-H],1085.747
GM4 41:2;O3 [M-H],1101.7419
GM4 42:0;O4 [M-H],1135.7838
GM4 42:1;O2 [M-H],1101.7783
GM4 42:1;O3 [M-H],1117.7732
GM4 42:1;O4 [M-H],1133.7681
GM4 42:2;O2 [M-H],1099.7626
GM4 42:2;O3 [M-H],1115.7575
GM4 42:2;O4 [M-H],1131.7524
GM4 42:3;O2 [M-H],1097.747
GM4 42:3;O3 [M-H],1113.7419
GM4 42:4;O2 [M-H],1095.7313
GM4 42:4;O3 [M-H],1111.7262
GM4 43:0;O3 [M-H],1133.8045
GM4 43:0;O4 [M-H],1149.7994
GM4 43:1;O2 [M-H],1115.7939
GM4 43:1;O3 [M-H],1131.7888
GM4 43:1;O4 [M-H],1147.7837
GM4 43:2;O2 [M-H],1113.7783
GM4 43:2;O3 [M-H],1129.7732
GM4 43:3;O2 [M-H],1111.7626
GM4 43:3;O3 [M-H],1127.7575
GM4 44:0;O3 [M-H],1147.8202
GM4 44:1;O2 [M-H],1129.8096
GM4 44:1;O3 [M-H],1145.8045
GM4 44:1;O4 [M-H],1161.7994
GM4 44:2;O2 [M-H],1127.7939
GM4 44:2;O3 [M-H],1143.7888
GM4 44:3;O2 [M-H],1125.7783
GM4 44:3;O3 [M-H],1141.7732
GM4 44:4;O2 [M-H],1123.7626
GM4 44:4;O3 [M-H],1139.7575
Hex2Cer 32:1;O2 [M-H],832.5792
Hex2Cer 32:2;O2 [M-H],830.5635
Hex2Cer 33:1;O2 [M-H],846.5948
Hex2Cer 34:1;O2 [M-H],860.6105
Hex2Cer 34:2;O2 [M-H],858.5948
Hex2Cer 35:1;O2 [M-H],874.6261
Hex2Cer 35:2;O2 [M-H],872.6105
Hex2Cer 36:1;O2 [M-H],888.6418
Hex2Cer 36:2;O2 [M-H],886.6261
Hex2Cer 36:3;O2 [M-H],884.6105
Hex2Cer 36:4;O2 [M-H],882.5948
Hex2Cer 38:1;O2 [M-H],916.6731
Hex2Cer 38:2;O2 [M-H],914.6574
Hex2Cer 38:3;O2 [M-H],912.6418
Hex2Cer 39:1;O2 [M-H],930.6887
Hex2Cer 40:1;O2 [M-H],944.7044
Hex2Cer 40:2;O2 [M-H],942.6887
Hex2Cer 40:3;O2 [M-H],940.6731
Hex2Cer 40:4;O2 [M-H],938.6574
Hex2Cer 41:1;O2 [M-H],958.72
Hex2Cer 41:2;O2 [M-H],956.7044
Hex2Cer 42:1;O2 [M-H],972.7357
Hex2Cer 42:2;O2 [M-H],970.72
Hex2Cer 42:3;O2 [M-H],968.7044
Hex2Cer 42:4;O2 [M-H],966.6887
Hex2Cer 43:1;O2 [M-H],986.7513
Hex2Cer 43:2;O2 [M-H],984.7357
Hex2Cer 43:3;O2 [M-H],982.72
Hex2Cer 44:1;O2 [M-H],1000.767
Hex2Cer 44:2;O2 [M-H],998.7513
Hex2Cer 44:3;O2 [M-H],996.7357
Hex2Cer 44:4;O2 [M-H],994.72
Hex3Cer 32:1;O2 [M-H],994.632
Hex3Cer 32:2;O2 [M-H],992.6163
Hex3Cer 33:1;O2 [M-H],1008.6476
Hex3Cer 34:1;O2 [M-H],1022.6633
Hex3Cer 34:2;O2 [M-H],1020.6476
Hex3Cer 35:1;O2 [M-H],1036.6789
Hex3Cer 35:2;O2 [M-H],1034.6633
Hex3Cer 36:1;O2 [M-H],1050.6946
Hex3Cer 36:2;O2 [M-H],1048.6789
Hex3Cer 36:3;O2 [M-H],1046.6633
Hex3Cer 36:4;O2 [M-H],1044.6476
Hex3Cer 38:1;O2 [M-H],1078.7259
Hex3Cer 38:2;O2 [M-H],1076.7102
Hex3Cer 38:3;O2 [M-H],1074.6946
Hex3Cer 39:1;O2 [M-H],1092.7415
Hex3Cer 40:1;O2 [M-H],1106.7572
Hex3Cer 40:2;O2 [M-H],1104.7415
Hex3Cer 40:3;O2 [M-H],1102.7259
Hex3Cer 40:4;O2 [M-H],1100.7102
Hex3Cer 41:1;O2 [M-H],1120.7728
Hex3Cer 41:2;O2 [M-H],1118.7572
Hex3Cer 42:1;O2 [M-H],1134.7885
Hex3Cer 42:2;O2 [M-H],1132.7728
Hex3Cer 42:3;O2 [M-H],1130.7572
Hex3Cer 42:4;O2 [M-H],1128.7415
Hex3Cer 43:1;O2 [M-H],1148.8041
Hex3Cer 43:2;O2 [M-H],1146.7885
Hex3Cer 43:3;O2 [M-H],1144.7728
Hex3Cer 44:1;O2 [M-H],1162.8198
Hex3Cer 44:2;O2 [M-H],1160.8041
Hex3Cer 44:3;O2 [M-H],1158.7885
Hex3Cer 44:4;O2 [M-H],1156.7728
Hex4Cer 32:1;O2 [M-H],1156.6848
Hex4Cer 32:2;O2 [M-H],1154.6692
Hex4Cer 33:1;O2 [M-H],1170.7005
Hex4Cer 34:1;O2 [M-H],1184.7161
Hex4Cer 34:2;O2 [M-H],1182.7005
Hex4Cer 35:1;O2 [M-H],1198.7318
Hex4Cer 35:2;O2 [M-H],1196.7161
Hex4Cer 36:1;O2 [M-H],1212.7474
Hex4Cer 36:2;O2 [M-H],1210.7318
Hex4Cer 36:3;O2 [M-H],1208.7161
Hex4Cer 36:4;O2 [M-H],1206.7005
Hex4Cer 38:1;O2 [M-H],1240.7787
Hex4Cer 38:2;O2 [M-H],1238.7631
Hex4Cer 38:3;O2 [M-H],1236.7474
Hex4Cer 39:1;O2 [M-H],1254.7944
Hex4Cer 40:1;O2 [M-H],1268.81
Hex4Cer 40:2;O2 [M-H],1266.7944
Hex4Cer 40:3;O2 [M-H],1264.7787
Hex4Cer 40:4;O2 [M-H],1262.7631
Hex4Cer 41:1;O2 [M-H],1282.8257
Hex4Cer 41:2;O2 [M-H],1280.81
Hex4Cer 42:1;O2 [M-H],1296.8413
Hex4Cer 42:2;O2 [M-H],1294.8257
Hex4Cer 42:3;O2 [M-H],1292.81
Hex4Cer 42:4;O2 [M-H],1290.7944
Hex4Cer 43:1;O2 [M-H],1310.857
Hex4Cer 43:2;O2 [M-H],1308.8413
Hex4Cer 43:3;O2 [M-H],1306.8257
Hex4Cer 44:1;O2 [M-H],1324.8726
Hex4Cer 44:2;O2 [M-H],1322.857
Hex4Cer 44:3;O2 [M-H],1320.8413
Hex4Cer 44:4;O2 [M-H],1318.8257
Hex5Cer 32:1;O2 [M-H],1318.7376
Hex5Cer 32:2;O2 [M-H],1316.722
Hex5Cer 33:1;O2 [M-H],1332.7533
Hex5Cer 34:1;O2 [M-H],1346.7689
Hex5Cer 34:2;O2 [M-H],1344.7533
Hex5Cer 35:1;O2 [M-H],1360.7846
Hex5Cer 35:2;O2 [M-H],1358.7689
Hex5Cer 36:1;O2 [M-H],1374.8002
Hex5Cer 36:2;O2 [M-H],1372.7846
Hex5Cer 36:3;O2 [M-H],1370.7689
Hex5Cer 36:4;O2 [M-H],1368.7533
Hex5Cer 38:1;O2 [M-H],1402.8315
Hex5Cer 38:2;O2 [M-H],1400.8159
Hex5Cer 38:3;O2 [M-H],1398.8002
Hex5Cer 39:1;O2 [M-H],1416.8472
Hex5Cer 40:1;O2 [M-H],1430.8628
Hex5Cer 40:2;O2 [M-H],1428.8472
Hex5Cer 40:3;O2 [M-H],1426.8315
Hex5Cer 40:4;O2 [M-H],1424.8159
Hex5Cer 41:1;O2 [M-H],1444.8785
Hex5Cer 41:2;O2 [M-H],1442.8628
Hex5Cer 42:1;O2 [M-H],1458.8941
Hex5Cer 42:2;O2 [M-H],1456.8785
Hex5Cer 42:3;O2 [M-H],1454.8628
Hex5Cer 42:4;O2 [M-H],1452.8472
Hex5Cer 43:1;O2 [M-H],1472.9098
Hex5Cer 43:2;O2 [M-H],1470.8941
Hex5Cer 43:3;O2 [M-H],1468.8785
Hex5Cer 44:1;O2 [M-H],1486.9254
Hex5Cer 44:2;O2 [M-H],1484.9098
Hex5Cer 44:3;O2 [M-H],1482.8941
Hex5Cer 44:4;O2 [M-H],1480.8785
Hex6Cer 32:1;O2 [M-H],1480.7905
Hex6Cer 32:2;O2 [M-H],1478.7748
Hex6Cer 33:1;O2 [M-H],1494.8061
Hex6Cer 34:1;O2 [M-H],1508.8218
Hex6Cer 34:2;O2 [M-H],1506.8061
Hex6Cer 35:1;O2 [M-H],1522.8374
Hex6Cer 35:2;O2 [M-H],1520.8218
Hex6Cer 36:1;O2 [M-H],1536.8531
Hex6Cer 36:2;O2 [M-H],1534.8374
Hex6Cer 36:3;O2 [M-H],1532.8218
Hex6Cer 36:4;O2 [M-H],1530.8061
Hex6Cer 38:1;O2 [M-H],1564.8844
Hex6Cer 38:2;O2 [M-H],1562.8687
Hex6Cer 38:3;O2 [M-H],1560.8531
Hex6Cer 39:1;O2 [M-H],1578.9
Hex6Cer 40:1;O2 [M-H],1592.9157
Hex6Cer 40:2;O2 [M-H],1590.9
Hex6Cer 40:3;O2 [M-H],1588.8844
Hex6Cer 40:4;O2 [M-H],1586.8687
Hex6Cer 41:1;O2 [M-H],1606.9313
Hex6Cer 41:2;O2 [M-H],1604.9157
Hex6Cer 42:1;O2 [M-H],1620.947
Hex6Cer 42:2;O2 [M-H],1618.9313
Hex6Cer 42:3;O2 [M-H],1616.9157
Hex6Cer 42:4;O2 [M-H],1614.9
Hex6Cer 43:1;O2 [M-H],1634.9626
Hex6Cer 43:2;O2 [M-H],1632.947
Hex6Cer 43:3;O2 [M-H],1630.9313
Hex6Cer 44:1;O2 [M-H],1648.9783
Hex6Cer 44:2;O2 [M-H],1646.9626
Hex6Cer 44:3;O2 [M-H],1644.947
Hex6Cer 44:4;O2 [M-H],1642.9313
HexCer 32:1;O2 [M-H],670.5263
HexCer 32:2;O2 [M-H],668.5107
HexCer 33:1;O2 [M-H],684.542
HexCer 34:1;O2 [M-H],698.5576
HexCer 34:2;O2 [M-H],696.542
HexCer 35:1;O2 [M-H],712.5733
HexCer 35:2;O2 [M-H],710.5576
HexCer 36:1;O2 [M-H],726.5889
HexCer 36:2;O2 [M-H],724.5733
HexCer 36:3;O2 [M-H],722.5576
HexCer 36:4;O2 [M-H],720.542
HexCer 38:1;O2 [M-H],754.6202
HexCer 38:2;O2 [M-H],752.6046
HexCer 38:3;O2 [M-H],750.5889
HexCer 39:1;O2 [M-H],768.6359
HexCer 40:1;O2 [M-H],782.6515
HexCer 40:2;O2 [M-H],780.6359
HexCer 40:3;O2 [M-H],778.6202
HexCer 40:4;O2 [M-H],776.6046
HexCer 41:1;O2 [M-H],796.6672
HexCer 41:2;O2 [M-H],794.6515
HexCer 42:1;O2 [M-H],810.6828
HexCer 42:2;O2 [M-H],808.6672
HexCer 42:3;O2 [M-H],806.6515
HexCer 42:4;O2 [M-H],804.6359
HexCer 43:1;O2 [M-H],824.6985
HexCer 43:2;O2 [M-H],822.6828
HexCer 43:3;O2 [M-H],820.6672
HexCer 44:1;O2 [M-H],838.7141
HexCer 44:2;O2 [M-H],836.6985
HexCer 44:3;O2 [M-H],834.6828
HexCer 44:4;O2 [M-H],832.6672
LPA 14:0 [M-H],381.2048;
LPA 14:1 [M-H],379.1891;
LPA 16:0 [M-H],409.2361;
LPA 16:1 [M-H],407.2204;
LPA 18:0 [M-H],437.2674;
LPA 18:1 [M-H],435.2517;
LPA 18:2 [M-H],433.2361;
LPA 18:3 [M-H],431.2204;
LPA 20:0 [M-H],465.2987;
LPA 20:1 [M-H],463.283;
LPA 20:2 [M-H],461.2674;
LPA 20:3 [M-H],459.2517;
LPA 20:4 [M-H],457.2361;
LPA 20:5 [M-H],455.2204;
LPA 22:1 [M-H],491.3143;
LPA 22:4 [M-H],485.2674;
LPA 22:5 [M-H],483.2517;
LPA 22:6 [M-H],481.2361;
LPE 14:0 [M-H],424.247;
LPE 14:1 [M-H],422.2313;
LPE 16:0 [M-H],452.2783;
LPE 16:1 [M-H],450.2626;
LPE 18:0 [M-H],480.3096;
LPE 18:1 [M-H],478.2939;
LPE 18:2 [M-H],476.2783;
LPE 18:3 [M-H],474.2626;
LPE 20:0 [M-H],508.3409;
LPE 20:1 [M-H],506.3252;
LPE 20:2 [M-H],504.3096;
LPE 20:3 [M-H],502.2939;
LPE 20:4 [M-H],500.2783;
LPE 20:5 [M-H],498.2626;
LPE 22:1 [M-H],534.3565;
LPE 22:4 [M-H],528.3096;
LPE 22:5 [M-H],526.2939;
LPE 22:6 [M-H],524.2783;
LPG 14:0 [M-H],455.2415;
LPG 14:1 [M-H],453.2259;
LPG 16:0 [M-H],483.2728;
LPG 16:1 [M-H],481.2572;
LPG 18:0 [M-H],511.3041;
LPG 18:1 [M-H],509.2885;
LPG 18:2 [M-H],507.2728;
LPG 18:3 [M-H],505.2572;
LPG 20:0 [M-H],539.3354;
LPG 20:1 [M-H],537.3198;
LPG 20:2 [M-H],535.3041;
LPG 20:3 [M-H],533.2885;
LPG 20:4 [M-H],531.2728;
LPG 20:5 [M-H],529.2572;
LPG 22:1 [M-H],565.3511;
LPG 22:4 [M-H],559.3041;
LPG 22:5 [M-H],557.2885;
LPG 22:6 [M-H],555.2728;
LPI 14:0 [M-H],543.2576;
LPI 14:1 [M-H],541.2419;
LPI 16:0 [M-H],571.2889;
LPI 16:1 [M-H],569.2732;
LPI 18:0 [M-H],599.3202;
LPI 18:1 [M-H],597.3045;
LPI 18:2 [M-H],595.2889;
LPI 18:3 [M-H],593.2732;
LPI 20:0 [M-H],627.3515;
LPI 20:1 [M-H],625.3358;
LPI 20:2 [M-H],623.3202;
LPI 20:3 [M-H],621.3045;
LPI 20:4 [M-H],619.2889;
LPI 20:5 [M-H],617.2732;
LPI 22:1 [M-H],653.3671;
LPI 22:4 [M-H],647.3202;
LPI 22:5 [M-H],645.3045;
LPI 22:6 [M-H],643.2889;
LPS 14:0 [M-H],468.2368;
LPS 14:1 [M-H],466.2211;
LPS 16:0 [M-H],496.2681;
LPS 16:1 [M-H],494.2524;
LPS 18:0 [M-H],524.2994;
LPS 18:1 [M-H],522.2837;
LPS 18:2 [M-H],520.2681;
LPS 18:3 [M-H],518.2524;
LPS 20:0 [M-H],552.3307;
LPS 20:1 [M-H],550.315;
LPS 20:2 [M-H],548.2994;
LPS 20:3 [M-H],546.2837;
LPS 20:4 [M-H],544.2681;
LPS 20:5 [M-H],542.2524;
LPS 22:1 [M-H],578.3463;
LPS 22:4 [M-H],572.2994;
LPS 22:5 [M-H],570.2837;
LPS 22:6 [M-H],568.2681;
MLCL 42:0 [M-H]-,1029.641384;
MLCL 42:1 [M-H]-,1027.625734;
MLCL 42:2 [M-H]-,1025.610084;
MLCL 42:3 [M-H]-,1023.594434;
MLCL 44:0 [M-H]-,1057.672684;
MLCL 44:1 [M-H]-,1055.657034;
MLCL 44:2 [M-H]-,1053.641384;
MLCL 44:3 [M-H]-,1051.625734;
MLCL 46:0 [M-H]-,1085.703984;
MLCL 46:1 [M-H]-,1083.688334;
MLCL 46:2 [M-H]-,1081.672684;
MLCL 46:3 [M-H]-,1079.657034;
MLCL 46:4 [M-H]-,1077.641384;
MLCL 46:5 [M-H]-,1075.625734;
MLCL 46:6 [M-H]-,1073.610084;
MLCL 48:0 [M-H]-,1113.735284;
MLCL 48:1 [M-H]-,1111.719634;
MLCL 48:2 [M-H]-,1109.703984;
MLCL 48:3 [M-H]-,1107.688334;
MLCL 48:4 [M-H]-,1105.672684;
MLCL 48:5 [M-H]-,1103.657034;
MLCL 48:6 [M-H]-,1101.641384;
MLCL 48:7 [M-H]-,1099.625734;
MLCL 50:0 [M-H]-,1141.766584;
MLCL 50:1 [M-H]-,1139.750934;
MLCL 50:2 [M-H]-,1137.735284;
MLCL 50:3 [M-H]-,1135.719634;
MLCL 50:4 [M-H]-,1133.703984;
MLCL 50:5 [M-H]-,1131.688334;
MLCL 50:6 [M-H]-,1129.672684;
MLCL 50:7 [M-H]-,1127.657034;
MLCL 50:8 [M-H]-,1125.641384;
MLCL 50:9 [M-H]-,1123.625734;
MLCL 52:0 [M-H]-,1169.797884;
MLCL 52:1 [M-H]-,1167.782234;
MLCL 52:10 [M-H]-,1149.641384;
MLCL 52:2 [M-H]-,1165.766584;
MLCL 52:3 [M-H]-,1163.750934;
MLCL 52:4 [M-H]-,1161.735284;
MLCL 52:5 [M-H]-,1159.719634;
MLCL 52:6 [M-H]-,1157.703984;
MLCL 52:7 [M-H]-,1155.688334;
MLCL 52:8 [M-H]-,1153.672684;
MLCL 52:9 [M-H]-,1151.657034;
MLCL 54:0 [M-H]-,1197.829185;
MLCL 54:1 [M-H]-,1195.813534;
MLCL 54:10 [M-H]-,1177.672684;
MLCL 54:11 [M-H]-,1175.657034;
MLCL 54:12 [M-H]-,1173.641384;
MLCL 54:2 [M-H]-,1193.797884;
MLCL 54:3 [M-H]-,1191.782234;
MLCL 54:4 [M-H]-,1189.766584;
MLCL 54:5 [M-H]-,1187.750934;
MLCL 54:6 [M-H]-,1185.735284;
MLCL 54:7 [M-H]-,1183.719634;
MLCL 54:8 [M-H]-,1181.703984;
MLCL 54:9 [M-H]-,1179.688334;
MLCL 56:0 [M-H]-,1225.860485;
MLCL 56:1 [M-H]-,1223.844835;
MLCL 56:10 [M-H]-,1205.703984;
MLCL 56:11 [M-H]-,1203.688334;
MLCL 56:12 [M-H]-,1201.672684;
MLCL 56:13 [M-H]-,1199.657034;
MLCL 56:2 [M-H]-,1221.829185;
MLCL 56:3 [M-H]-,1219.813534;
MLCL 56:4 [M-H]-,1217.797884;
MLCL 56:5 [M-H]-,1215.782234;
MLCL 56:6 [M-H]-,1213.766584;
MLCL 56:7 [M-H]-,1211.750934;
MLCL 56:8 [M-H]-,1209.735284;
MLCL 56:9 [M-H]-,1207.719634;
MLCL 58:0 [M-H]-,1253.891785;
MLCL 58:1 [M-H]-,1251.876135;
MLCL 58:10 [M-H]-,1233.735284;
MLCL 58:11 [M-H]-,1231.719634;
MLCL 58:12 [M-H]-,1229.703984;
MLCL 58:13 [M-H]-,1227.688334;
MLCL 58:14 [M-H]-,1225.672684;
MLCL 58:2 [M-H]-,1249.860485;
MLCL 58:3 [M-H]-,1247.844835;
MLCL 58:4 [M-H]-,1245.829185;
MLCL 58:5 [M-H]-,1243.813534;
MLCL 58:6 [M-H]-,1241.797884;
MLCL 58:7 [M-H]-,1239.782234;
MLCL 58:8 [M-H]-,1237.766584;
MLCL 58:9 [M-H]-,1235.750934;
MLCL 60:0 [M-H]-,1281.923085;
MLCL 60:1 [M-H]-,1279.907435;
MLCL 60:10 [M-H]-,1261.766584;
MLCL 60:11 [M-H]-,1259.750934;
MLCL 60:12 [M-H]-,1257.735284;
MLCL 60:13 [M-H]-,1255.719634;
MLCL 60:14 [M-H]-,1253.703984;
MLCL 60:15 [M-H]-,1251.688334;
MLCL 60:2 [M-H]-,1277.891785;
MLCL 60:3 [M-H]-,1275.876135;
MLCL 60:4 [M-H]-,1273.860485;
MLCL 60:5 [M-H]-,1271.844835;
MLCL 60:6 [M-H]-,1269.829185;
MLCL 60:7 [M-H]-,1267.813534;
MLCL 60:8 [M-H]-,1265.797884;
MLCL 60:9 [M-H]-,1263.782234;
MLCL 62:1 [M-H]-,1307.938735;
MLCL 62:10 [M-H]-,1289.797884;
MLCL 62:11 [M-H]-,1287.782234;
MLCL 62:12 [M-H]-,1285.766584;
MLCL 62:13 [M-H]-,1283.750934;
MLCL 62:14 [M-H]-,1281.735284;
MLCL 62:15 [M-H]-,1279.719634;
MLCL 62:16 [M-H]-,1277.703984;
MLCL 62:2 [M-H]-,1305.923085;
MLCL 62:3 [M-H]-,1303.907435;
MLCL 62:4 [M-H]-,1301.891785;
MLCL 62:5 [M-H]-,1299.876135;
MLCL 62:6 [M-H]-,1297.860485;
MLCL 62:7 [M-H]-,1295.844835;
MLCL 62:8 [M-H]-,1293.829185;
MLCL 62:9 [M-H]-,1291.813534;
MLCL 64:10 [M-H]-,1317.829185;
MLCL 64:11 [M-H]-,1315.813534;
MLCL 64:12 [M-H]-,1313.797884;
MLCL 64:13 [M-H]-,1311.782234;
MLCL 64:14 [M-H]-,1309.766584;
MLCL 64:15 [M-H]-,1307.750934;
MLCL 64:16 [M-H]-,1305.735284;
MLCL 64:17 [M-H]-,1303.719634;
MLCL 64:2 [M-H]-,1333.954385;
MLCL 64:3 [M-H]-,1331.938735;
MLCL 64:4 [M-H]-,1329.923085;
MLCL 64:5 [M-H]-,1327.907435;
MLCL 64:6 [M-H]-,1325.891785;
MLCL 64:7 [M-H]-,1323.876135;
MLCL 64:8 [M-H]-,1321.860485;
MLCL 64:9 [M-H]-,1319.844835;
MLCL 66:10 [M-H]-,1345.860485;
MLCL 66:11 [M-H]-,1343.844835;
MLCL 66:12 [M-H]-,1341.829185;
MLCL 66:13 [M-H]-,1339.813534;
MLCL 66:14 [M-H]-,1337.797884;
MLCL 66:15 [M-H]-,1335.782234;
MLCL 66:16 [M-H]-,1333.766584;
MLCL 66:17 [M-H]-,1331.750934;
MLCL 66:18 [M-H]-,1329.735284;
MLCL 66:3 [M-H]-,1359.970035;
MLCL 66:6 [M-H]-,1353.923085;
MLCL 66:7 [M-H]-,1351.907435;
MLCL 66:8 [M-H]-,1349.891785;
MLCL 66:9 [M-H]-,1347.876135;
PA 28:0 [M-H],591.4031;
PA 28:1 [M-H],589.3875;
PA 28:2 [M-H],587.3718;
PA 30:0 [M-H],619.4344;
PA 30:1 [M-H],617.4188;
PA 30:2 [M-H],615.4031;
PA 32:0 [M-H],647.4657;
PA 32:1 [M-H],645.4501;
PA 32:2 [M-H],643.4344;
PA 34:0 [M-H],675.497;
PA 34:1 [M-H],673.4814;
PA 34:2 [M-H],671.4657;
PA 34:3 [M-H],669.4501;
PA 34:4 [M-H],667.4344;
PA 34:6 [M-H],663.4031;
PA 36:0 [M-H],703.5283;
PA 36:1 [M-H],701.5127;
PA 36:2 [M-H],699.497;
PA 36:3 [M-H],697.4814;
PA 36:4 [M-H],695.4657;
PA 36:5 [M-H],693.4501;
PA 36:6 [M-H],691.4344;
PA 36:8 [M-H],687.4031;
PA 38:0 [M-H],731.5596;
PA 38:1 [M-H],729.544;
PA 38:2 [M-H],727.5283;
PA 38:3 [M-H],725.5127;
PA 38:4 [M-H],723.497;
PA 38:5 [M-H],721.4814;
PA 38:6 [M-H],719.4657;
PA 38:7 [M-H],717.4501;
PA 40:0 [M-H],759.5909;
PA 40:1 [M-H],757.5753;
PA 40:10 [M-H],739.4344;
PA 40:2 [M-H],755.5596;
PA 40:3 [M-H],753.544;
PA 40:4 [M-H],751.5283;
PA 40:5 [M-H],749.5127;
PA 40:6 [M-H],747.497;
PA 40:7 [M-H],745.4814;
PA 40:8 [M-H],743.4657;
PA 40:9 [M-H],741.4501;
PA 42:1 [M-H],785.6066;
PA 42:10 [M-H],767.4657;
PA 42:11 [M-H],765.4501;
PA 42:2 [M-H],783.5909;
PA 42:3 [M-H],781.5753;
PA 42:4 [M-H],779.5596;
PA 42:5 [M-H],777.544;
PA 42:6 [M-H],775.5283;
PA 42:7 [M-H],773.5127;
PA 42:8 [M-H],771.497;
PA 42:9 [M-H],769.4814;
PA 44:10 [M-H],795.497;
PA 44:11 [M-H],793.4814;
PA 44:12 [M-H],791.4657;
PA 44:2 [M-H],811.6222;
PA 44:5 [M-H],805.5753;
PA 44:6 [M-H],803.5596;
PA 44:7 [M-H],801.544;
PA 44:8 [M-H],799.5283;
PA 44:9 [M-H],797.5127;
PE 28:0 [M-H],634.4453;
PE 28:1 [M-H],632.4297;
PE 30:0 [M-H],662.4766;
PE 30:1 [M-H],660.461;
PE 30:2 [M-H],658.4453;
PE 32:0 [M-H],690.5079;
PE 32:1 [M-H],688.4923;
PE 32:2 [M-H],686.4766;
PE 32:3 [M-H],684.461;
PE 34:0 [M-H],718.5392;
PE 34:1 [M-H],716.5236;
PE 34:2 [M-H],714.5079;
PE 34:3 [M-H],712.4923;
PE 34:4 [M-H],710.4766;
PE 36:0 [M-H],746.5705;
PE 36:1 [M-H],744.5549;
PE 36:2 [M-H],742.5392;
PE 36:3 [M-H],740.5236;
PE 36:4 [M-H],738.5079;
PE 36:5 [M-H],736.4923;
PE 36:6 [M-H],734.4766;
PE 38:0 [M-H],774.6018;
PE 38:1 [M-H],772.5862;
PE 38:2 [M-H],770.5705;
PE 38:3 [M-H],768.5549;
PE 38:4 [M-H],766.5392;
PE 38:5 [M-H],764.5236;
PE 38:6 [M-H],762.5079;
PE 38:7 [M-H],760.4923;
PE 40:0 [M-H],802.6331;
PE 40:1 [M-H],800.6175;
PE 40:10 [M-H],782.4766;
PE 40:2 [M-H],798.6018;
PE 40:3 [M-H],796.5862;
PE 40:4 [M-H],794.5705;
PE 40:5 [M-H],792.5549;
PE 40:6 [M-H],790.5392;
PE 40:7 [M-H],788.5236;
PE 40:8 [M-H],786.5079;
PE 40:9 [M-H],784.4923;
PE 42:1 [M-H],828.6488;
PE 42:10 [M-H],810.5079;
PE 42:11 [M-H],808.4923;
PE 42:2 [M-H],826.6331;
PE 42:3 [M-H],824.6175;
PE 42:4 [M-H],822.6018;
PE 42:5 [M-H],820.5862;
PE 42:6 [M-H],818.5705;
PE 42:7 [M-H],816.5549;
PE 42:8 [M-H],814.5392;
PE 42:9 [M-H],812.5236;
PE 44:10 [M-H],838.5392;
PE 44:11 [M-H],836.5236;
PE 44:12 [M-H],834.5079;
PE 44:2 [M-H],854.6644;
PE 44:5 [M-H],848.6175;
PE 44:6 [M-H],846.6018;
PE 44:7 [M-H],844.5862;
PE 44:8 [M-H],842.5705;
PE 44:9 [M-H],840.5549;
PE O-28:0 [M-H],620.4661;
PE O-28:1 / PE P-28:0 [M-H],618.4504;
PE O-28:2 / PE P-28:1 [M-H],616.4348;
PE O-30:0 [M-H],648.4974;
PE O-30:1 / PE P-30:0 [M-H],646.4817;
PE O-30:2 / PE P-30:1 [M-H],644.4661;
PE O-32:0 [M-H],676.5287;
PE O-32:1 / PE P-32:0 [M-H],674.513;
PE O-32:2 / PE P-32:1 [M-H],672.4974;
PE O-32:3 / PE P-32:2 [M-H],670.4817;
PE O-32:4 / PE P-32:3 [M-H],668.4661;
PE O-32:5 / PE P-32:4 [M-H],666.4504;
PE O-34:0 [M-H],704.56;
PE O-34:1 / PE P-34:0 [M-H],702.5443;
PE O-34:2 / PE P-34:1 [M-H],700.5287;
PE O-34:3 / PE P-34:2 [M-H],698.513;
PE O-34:4 / PE P-34:3 [M-H],696.4974;
PE O-34:5 / PE P-34:4 [M-H],694.4817;
PE O-34:6 / PE P-34:5 [M-H],692.4661;
PE O-36:0 [M-H],732.5913;
PE O-36:1 / PE P-36:0 [M-H],730.5756;
PE O-36:2 / PE P-36:1 [M-H],728.56;
PE O-36:3 / PE P-36:2 [M-H],726.5443;
PE O-36:4 / PE P-36:3 [M-H],724.5287;
PE O-36:5 / PE P-36:4 [M-H],722.513;
PE O-36:6 / PE P-36:5 [M-H],720.4974;
PE O-36:7 / PE P-36:6 [M-H],718.4817;
PE O-36:8 / PE P-36:7 [M-H],716.4661;
PE O-38:0 [M-H],760.6226;
PE O-38:1 / PE P-38:0 [M-H],758.6069;
PE O-38:2 / PE P-38:1 [M-H],756.5913;
PE O-38:3 / PE P-38:2 [M-H],754.5756;
PE O-38:4 / PE P-38:3 [M-H],752.56;
